company,Rating,Discount,DiscountPrice,MRP,reviews,ScreenSize,Edition,SoundOutput,Warranty
Thomson,4.1,56,6999,15999,4,80 cm (32 inch),2025,20 W,1 Year
XIAOMI,4.3,34,24999,37999,6,108 cm (43 inch),2025,30 W,Unknown
XIAOMI,4.3,34,31999,48999,6,68 cm (55 inch),2025,30 W,1 year
Acer,3.8,64,13999,38999,32,3 cm (40 inch),2025,26 W,1 Year
LG,4.4,44,39990,71990,2,139 cm (55 inch),2023,20 W,1 Year
Infinix,3.9,20,17499,21999,233.625,109 cm (43 inch),2024,40 W,1 Year
TCL,4,53,29990,64990,233.625,126 cm (50 inch),2025,24 W,Unknown
Foxsky,4.1,66,7499,22499,2,80 cm (32 inch),2023,30 W,1-Year
XIAOMI,4.3,51,21999,44999,6,125 cm (50 inch),2023,30 W,1 Year
LG,4.4,40,62990,105990,2,164 cm (65 inch),2025,20 W,1-Year
XIAOMI,4,47,32999,62999,233.625,138 cm (55 inch),2025,34 W,1 year
Blaupunkt,4.2,46,21499,39999,68,126 cm (50 inch),2025,48 W,1 Year
TCL,4,66,94999,201562.5,156,189 cm (75 inch),2025,40 W,Unknown
TCL,4.1,60,66990,169990,61,164 cm (65 inch),2025,40 W,Unknown
Coocaa,4.2,45,7699,13999,2,80 cm (32 inch),2025,20 W,1 Year
TCL,4,55,63999,143990,156,164 cm (65 inch),2025,40 W,Unknown
TOSHIBA,4.3,55,35499,79999,233.625,139 cm (55 inch),2024,49 W,Unknown
iFFALCON,4.1,57,26999,62990,233.625,126 cm (50 inch),2025,24 W,1 Year
BESTON,3.8,68,15999,49999,178,109 cm (43 inch),2025,30 W,2 Year
PHILIPS,4,26,32999,44999,188,138 cm (55 inch),2025,30 W,1 Year
Foxsky,4.2,69,7999,26499,1,80 cm (32 inch),2024,30 W,1-Year
Infinix,3.9,38,15499,24999,233.625,109 cm (43 inch),2024,40 W,1 Year
SONY,4.6,48,66990,128900,3,9 cm (65 inch),2024,20 W,1 Year
KODAK,4.1,50,7499,14999,1,80 cm (32 inch),2024,30 W,1 Year
Samsung,4.1,36,47990,75500,147,138 cm (55 inch),2025,20 W,2 Year
Samsung,4.3,35,37990,58900,4,125 cm (50 inch),2024,20 W,2 Year
Reliance,3.8,56,6490,14990,82,60 cm (24 inch),2025,20 W,1 Year
Thomson,4.3,31,19999,28999,5,108 cm (43 inch),2025,50 W,1 Year
MarQ,4.2,61,7999,21000,233.625,80 cm (32 inch),2023,24 W,Unknown
acerpure,3.9,58,20999,50990,118,108 cm (43 inch),2025,30 W,1 Year
Foxsky,4.2,73,34999,130990,1,165 cm (65 inch),2024,30 W,1-Year
Hisense,4.1,57,10999,25999,134,80 cm (32 inch),2025,30 W,1 Year
acerpure,3.9,63,40999,110990,118,164 cm (65 inch),2025,50 W,1 Year
Foxsky,4.2,74,24999,98990,1,139 cm (55 inch),2024,30 W,1-Year
Blaupunkt,4.4,36,28999,45999,3,139 cm (55 inch),2025,70 W,1 Year
Acer,3.8,60,26999,67999,3,127 cm (50 inch),2025,24 W,1 Year
Coocaa,4.2,46,21499,39999,107,108 cm (43 inch),2025,30 W,1 Year
Uniboom,4,75,6995,28990,14,80 cm (32 inch),2025,30 W,1 Year
XIAOMI,4.3,64,17999,49999,2,108 cm (43 inch),2023,30 W,1 Year
Blaupunkt,4.4,39,25499,41999,3,126 cm (50 inch),2025,50 W,1 Year
Uniboom,4,68,12990,40990,233.625,108 cm (43 inch),2025,30 W,1 Year
Infinix,3.8,41,9999,16999,18,80 cm (32 inch),2025,16 W,1 year
Blaupunkt,4.4,56,9999,22999,3,80 cm (32 inch),2025,48 W,1 Year
Foxsky,4,64,6999,19990,233.625,80 cm (32 inch),2023,30 W,1-Year
Samsung,4.3,27,39990,55200,1,138 cm (55 inch),2025,20 W,2 Year
Samsung,4.6,61,112839.75,201562.5,0,189 cm (75 inch),2022,70 W,1 Year
Samsung,4.3,29,59990,85600,1,163 cm (65 inch),2025,20 W,2 Year
Samsung,4.1,26,36990,50600,147,108 cm (43 inch),2025,20 W,2 Year
XIAOMI,4.3,28,34999,48999,6,138 cm (55 inch),2025,34 W,Unknown
Haier,4.2,35,32990,51490,48,108 cm (43 inch),2025,19 W,1 year
realme,4.4,51,38699,80199,59,165 cm (65 inch),2025,40 W,Unknown
Kenstar,4.4,62,16999,44999,26,109 cm (43 inch),2025,24 W,1 year
realme,4.3,53,26699,57999,70,140 cm (55 inch),2024,40 W,Unknown
Thomson,4.3,57,35999,84999,5,164 cm (65 inch),2022,40 W,1 Year
Thomson,4.3,39,24999,40999,5,126 cm (50 inch),2025,48 W,1 Year
